Series,Variant,Condition,LPR,Value
Series 1,WT,H2O,LPR5,1.981
Series 1,WT,H2O,LPR5,1.686
Series 1,WT,H2O,LPR5,2.132
Series 1,WT,H2O,LPR5,1.988
Series 1,WT,H2O,LPR5,2.026
Series 1,WT,H2O,LPR5,1.99
Series 1,WT,H2O,LPR5,2.118
Series 1,WT,H2O,LPR5,2.194
Series 1,WT,H2O,LPR5,2.127
Series 1,WT,H2O,LPR10,1.114
Series 1,WT,H2O,LPR10,0.998
Series 1,WT,H2O,LPR10,1.085
Series 1,WT,H2O,LPR10,1.15
Series 1,WT,H2O,LPR10,1.069
Series 1,WT,H2O,LPR10,1.396
Series 1,WT,H2O,LPR10,1.396
Series 1,WT,H2O,LPR10,0.901
Series 1,WT,H2O,LPR10,0.91
Series 2,WT,H2O,LPR5,2.176
Series 2,WT,H2O,LPR5,2.228
Series 2,WT,H2O,LPR5,1.561
Series 2,WT,H2O,LPR5,1.986
Series 2,WT,H2O,LPR5,1.426
Series 2,WT,H2O,LPR5,1.606
Series 2,WT,H2O,LPR10,0.841
Series 2,WT,H2O,LPR10,1.005
Series 2,WT,H2O,LPR10,1.191
Series 2,WT,H2O,LPR10,1.275
Series 2,WT,H2O,LPR10,1.028
