Series,Variant,Condition,LPR,Value
Series 1,WT,H2O,LPR5,43.69
Series 1,WT,H2O,LPR5,44.83
Series 1,WT,H2O,LPR5,42.48
Series 1,WT,H2O,LPR5,42.58
Series 1,WT,H2O,LPR5,41.72
Series 1,WT,H2O,LPR5,49.97
Series 1,WT,H2O,LPR5,48.32
Series 1,WT,H2O,LPR5,42.44
Series 1,WT,H2O,LPR5,42.96
Series 1,WT,H2O,LPR10,36.13
Series 1,WT,H2O,LPR10,32.81
Series 1,WT,H2O,LPR10,31.82
Series 1,WT,H2O,LPR10,33
Series 1,WT,H2O,LPR10,30.339
Series 1,WT,H2O,LPR10,33.58
Series 1,WT,H2O,LPR10,33.58
Series 1,WT,H2O,LPR10,34.151
Series 1,WT,H2O,LPR10,34.376
Series 2,WT,H2O,LPR10,26.23
Series 2,WT,H2O,LPR10,50.98
Series 2,WT,H2O,LPR10,25.06
Series 2,WT,H2O,LPR10,21.63
Series 2,WT,H2O,LPR10,56.7
Series 2,WT,H2O,LPR5,49.27
Series 2,WT,H2O,LPR5,66.1
Series 2,WT,H2O,LPR5,41.38
Series 2,WT,H2O,LPR5,69.84
Series 2,WT,H2O,LPR5,76.56
Series 2,WT,H2O,LPR5,54.46
