Variant,Condition,LPR,Value
WT,H2O,LPR10,26.23
WT,H2O,LPR10,50.98
WT,H2O,LPR10,25.06
WT,H2O,LPR10,21.63
WT,H2O,LPR10,56.7
WT,H2O,LPR50,10.765
WT,H2O,LPR50,20.065
WT,H2O,LPR50,18.58
WT,H2O,LPR50,13.02
WT,H2O,LPR5,49.27
WT,H2O,LPR5,66.1
WT,H2O,LPR5,41.38
WT,H2O,LPR5,69.84
WT,H2O,LPR5,76.56
WT,H2O,LPR5,54.46
WT,D2O>H2O,LPR5,40.627
WT,D2O>H2O,LPR5,46.804
WT,D2O>H2O,LPR5,47.134
WT,D2O>H2O,LPR5,62.437
WT,D2O,LPR5,58.58
WT,D2O,LPR5,52.37
WT,D2O,LPR5,66.7
WT,D2O,LPR5,52.01
WT,D2O,LPR5,48.55
WT,D2O,LPR5,78.12
WT,D2O,LPR5,75.78
WT,D2O,LPR10,37.345
WT,D2O,LPR10,31.82
WT,D2O,LPR10,25.34
WT,D2O,LPR10,26.34
WT,D2O,LPR10,24.7
WT,D2O,LPR10,23.19
WT,D2O,LPR50,10.02
WT,D2O,LPR50,11.247
WT,D2O,LPR50,10.112
WT,D2O,LPR50,10.161
