Series,LPR,Max_Amplitude,Decay_Rate
Series 2,LPR5,2.176,49.27
Series 2,LPR5,2.228,66.1
Series 2,LPR5,1.561,41.38
Series 2,LPR5,1.986,69.84
Series 2,LPR5,1.426,76.56
Series 2,LPR5,1.606,54.46
Series 2,LPR10,0.841,26.23
Series 2,LPR10,1.005,50.98
Series 2,LPR10,1.191,25.06
Series 2,LPR10,1.275,21.63
Series 2,LPR10,1.028,56.7
Series 1,LPR5,1.981,43.69
Series 1,LPR5,1.686,44.83
Series 1,LPR5,2.132,42.48
Series 1,LPR5,1.988,42.58
Series 1,LPR5,2.026,41.72
Series 1,LPR5,1.99,49.97
Series 1,LPR5,2.118,48.32
Series 1,LPR5,2.194,42.44
Series 1,LPR5,2.127,42.96
Series 1,LPR10,1.114,36.13
Series 1,LPR10,0.998,32.81
Series 1,LPR10,1.085,31.82
Series 1,LPR10,1.15,33
Series 1,LPR10,1.069,30.339
Series 1,LPR10,1.396,33.58
Series 1,LPR10,1.396,33.58
Series 1,LPR10,0.901,34.151
Series 1,LPR10,0.91,34.376
Series 1,LPR10,0.935,29.69
